date,open,high,close,low,volume,amount
2014-06-20,2013.414,2027.148,2026.674,2010.53,6716724800,53224267776
2014-06-19,2054.62,2059.255,2023.735,2017.653,9291427200,74628947968
2014-06-18,2064.383,2066.913,2055.519,2051.746,8724535200,70472933376
2014-06-17,2080.482,2080.482,2066.698,2064.666,8780048000,70923264000
2014-06-16,2070.699,2087.322,2085.983,2069.441,9593976800,79953076224
2014-06-13,2049.206,2073.596,2070.715,2048.618,9717480800,82546974720
2014-06-12,2051.582,2057.105,2051.713,2045.962,8171118400,69306425344
2014-06-11,2049.128,2056.631,2054.948,2045.407,7444435200,63177392128
2014-06-10,2033.207,2052.765,2052.532,2026.389,7962372000,65406103552
2014-06-09,2024.942,2045.255,2030.502,2023.198,6478831600,55139844096
2014-06-06,2040.864,2041.573,2029.956,2022.158,6602174400,55124242432
2014-06-05,2019.442,2041.701,2040.878,2016.175,6794953600,56376143872
2014-06-04,2037.989,2038.481,2024.834,2012.913,7241276800,57467547648
2014-06-03,2039.196,2049.576,2038.305,2037.3,7158412800,59296436224
2014-05-30,2040.394,2046.96,2039.212,2031.373,7514889600,62353641472
2014-05-29,2051.84,2057.077,2040.595,2039.238,8124292000,69472509952
2014-05-28,2034.561,2052.656,2050.228,2029.336,8133864000,68602224640
2014-05-27,2039.791,2044.148,2034.565,2032.839,6757788800,55920517120
2014-05-26,2042.028,2045.381,2041.476,2035.094,7028121600,59840434176
2014-05-23,2020.115,2034.569,2034.569,2017.739,6348806400,51464941568
2014-05-22,2023.148,2041.96,2021.285,2018.877,7472847200,59501662208
2014-05-21,2001.306,2025.194,2024.951,1991.055,6181154800,48415092736
2014-05-20,2011.846,2018.156,2008.119,2002.759,6134538400,49549017088
2014-05-19,2023.014,2023.267,2005.183,1996.015,6532944000,52975247360
2014-05-16,2023.596,2027.756,2026.504,2012.694,6635366000,51625885696
2014-05-15,2044.377,2047.316,2024.974,2022.861,7584515200,59773444096
2014-05-14,2049.27,2056.574,2047.91,2042.744,7201112800,56455290880
2014-05-13,2055.079,2061.06,2050.728,2043.547,9722339200,73741721600
2014-05-12,2022.932,2055.506,2052.871,2016.638,11574208000,88097005568
2014-05-09,2016.501,2020.454,2011.135,2001.3,7622424000,57505382400
2014-05-08,2006.853,2036.941,2015.274,2005.685,7786539200,59529367552
2014-05-07,2023.152,2024.631,2010.083,2008.451,7436019200,57558052864
2014-05-06,2024.256,2038.705,2028.038,2021.485,7460940800,57548111872
2014-05-05,2022.178,2028.957,2027.353,2007.351,7993339200,60093489152
2014-04-30,2020.438,2029.538,2026.358,2016.577,7452857600,57677357056
2014-04-29,2001.896,2021.68,2020.341,1997.64,7622127200,56776482816
2014-04-28,2033.337,2035.99,2003.487,2000.137,8979526400,68541493248
2014-04-25,2060.538,2065.643,2036.519,2035.566,9304233600,74155876352
2014-04-24,2064.156,2075.757,2057.033,2056.193,7818595200,64407531520
2014-04-23,2068.084,2076.349,2067.382,2059.109,7853152000,66156171264
2014-04-22,2062.787,2073.663,2072.831,2047.332,9871988000,82468102144
2014-04-21,2085.98,2103.078,2065.826,2065.234,9637836800,81654554624
2014-04-18,2091.48,2099.637,2097.748,2081.185,8815569600,72555978752
2014-04-17,2108.947,2110.716,2098.885,2095.714,8989632800,74257031168
2014-04-16,2097.213,2112.05,2105.122,2092.157,8936165600,75099480064
2014-04-15,2125.902,2125.902,2101.601,2098.15,10753115200,91135361024
2014-04-14,2127.409,2134.434,2131.539,2116.61,10207785600,86591717376
2014-04-11,2130.368,2138.651,2130.542,2120.179,13176836000,111636807680
2014-04-10,2105.876,2146.67,2134.3,2098.079,15678961600,129842348032
2014-04-09,2100.651,2108.75,2105.237,2095.64,10534047200,87366778880
2014-04-08,2054.53,2102.452,2098.284,2052.9,13337098400,107966357504
2014-04-04,2037.552,2060.104,2058.831,2035.221,8318905600,66368647168
2014-04-03,2063.497,2066.007,2043.702,2037.447,10861842400,79480897536
2014-04-02,2049.423,2060.778,2058.988,2046.742,10265852800,77940637696
2014-04-01,2031.005,2050.681,2047.46,2028.096,8328657600,64512638976
2014-03-31,2043.045,2048.134,2033.306,2024.185,9435653600,71573692416
2014-03-28,2046.851,2060.134,2041.712,2035.243,12168196800,94221959168
2014-03-27,2060.812,2073.982,2046.588,2042.713,11914937600,94996463616
2014-03-26,2070.574,2074.572,2063.67,2057.648,10261112000,80463446016
2014-03-25,2063.323,2079.551,2067.311,2057.491,13182223200,100173660160
2014-03-24,2050.827,2074.056,2066.279,2043.33,14770008000,110244495360
2014-03-21,1987.679,2052.472,2047.619,1986.071,14447766400,109438066688
2014-03-20,2017.22,2030.847,1993.479,1993.002,11033304800,88630976512
2014-03-19,2019.98,2022.181,2021.734,2002.441,9518080000,79473238016
2014-03-18,2026.224,2034.917,2025.196,2020.41,9677719200,83580452864
2014-03-17,2009.882,2024.372,2023.673,1999.249,8625037600,72017780736
2014-03-14,2008.825,2017.913,2004.339,1990.98,8777511200,69925888000
2014-03-13,2000.695,2029.12,2019.111,1996.529,10097811200,77979058176
2014-03-12,1996.239,2011.06,1997.692,1974.382,10136172000,79293071360
2014-03-11,1994.415,2008.071,2001.157,1985.599,9270526400,76870328320
2014-03-10,2042.352,2042.634,1999.065,1995.549,11569666400,95032991744
2014-03-07,2058.375,2079.49,2057.908,2050.47,10370953600,89332137984
2014-03-06,2050.032,2065.79,2059.578,2030.946,10929013600,92561448960
2014-03-05,2073.295,2074.815,2053.084,2050.175,10773308000,91623333888
2014-03-04,2068.107,2074.025,2071.473,2050.125,11592579200,101116313600
2014-03-03,2052.075,2078.333,2075.235,2047.067,12746088800,104980602880
2014-02-28,2040.624,2058.489,2056.302,2020.935,11163790400,95684075520
2014-02-27,2045.096,2068.314,2047.354,2036.391,13216385600,112875749376
2014-02-26,2026.61,2041.627,2041.254,2014.381,11011268800,96117710848
2014-02-25,2077.285,2087.616,2034.219,2026.543,14013297600,127823831040
2014-02-24,2099.717,2099.717,2076.686,2058.791,12355531200,107202453504
2014-02-21,2131.592,2132.703,2113.693,2098.328,11766264800,99514286080
2014-02-20,2152.891,2177.978,2138.782,2136.481,15705227200,130938437632
2014-02-19,2116.919,2152.961,2142.554,2111.168,15126124800,127818448896
2014-02-18,2134.143,2134.143,2119.066,2113.128,14286931200,129786970112
2014-02-17,2124.88,2136.447,2135.415,2117.689,14024444800,126213750784
2014-02-14,2097.32,2116.186,2115.848,2095.09,11151795200,97399668736
2014-02-13,2106.934,2122.826,2098.401,2096.966,14653264000,124377063424
2014-02-12,2103.828,2110.904,2109.955,2096.509,12633318400,110804074496
2014-02-11,2086.177,2111.061,2103.671,2082.522,14221132800,125266771968
2014-02-10,2049.984,2087.975,2086.067,2049.984,12433183200,112722919424
2014-02-07,2022.323,2044.73,2044.497,2014.698,7359875200,67829923840
2014-01-30,2045.931,2045.931,2033.083,2031.466,6261518400,58264498176
2014-01-29,2042.176,2051.583,2049.914,2039.771,7386546400,67694125056
2014-01-28,2036.402,2047.129,2038.513,2026.987,7252904000,65751605248
2014-01-27,2044.272,2044.846,2033.3,2029.626,8881542400,81914216448
2014-01-24,2037.667,2060.986,2054.392,2034.453,9294792000,82346180608
2014-01-23,2048.331,2052.528,2042.18,2039.052,8421058400,76083322880
2014-01-22,2009.969,2052.339,2051.749,2008.93,9889285600,84126662656
2014-01-21,1992.015,2014.152,2008.313,1992.015,5984491200,52017917952
2014-01-20,2001.894,2005.938,1991.253,1984.824,5627124800,48298782720
2014-01-17,2017.522,2017.868,2004.949,2001.33,6730572000,57039564800
2014-01-16,2022.538,2034.707,2023.701,2014.407,7275572000,62829760512
2014-01-15,2024.228,2027.409,2023.348,2010.204,6743622400,57740357632
2014-01-14,2007.156,2027.428,2026.842,2001.135,7036661600,56687624192
2014-01-13,2014.978,2027.181,2009.564,2000.404,6654477600,55616749568
2014-01-10,2023.535,2029.297,2013.298,2008.007,7561612000,61044551680
2014-01-09,2041.773,2057.196,2027.622,2026.446,7594188000,67605663744
2014-01-08,2047.256,2062.952,2044.34,2037.11,7164736000,62941429760
2014-01-07,2034.224,2052.279,2047.317,2029.246,6340293600,54638641152
2014-01-06,2078.684,2078.684,2045.709,2034.006,8958760800,72895397888
2014-01-03,2101.542,2102.167,2083.136,2075.899,8449724000,72372232192
2014-01-02,2112.126,2113.11,2109.387,2101.016,6848548800,61921353728
2013-12-31,2090.679,2120.274,2115.978,2087.415,8047437600,71456284672
2013-12-30,2108.883,2112.009,2097.529,2095.063,7408505600,63038943232
2013-12-27,2074.592,2110.357,2101.251,2069.59,7675682400,66394443776
2013-12-26,2102.66,2102.66,2073.099,2070.546,7854140800,66767122432
2013-12-25,2095.019,2107.232,2106.354,2088.297,6513909600,58136846336
2013-12-24,2094.073,2111.805,2092.905,2079.81,7025146400,61697069056
2013-12-23,2089.539,2099.522,2089.707,2068.543,6814664000,58435624960
2013-12-20,2128.374,2131.737,2084.794,2082.855,8677521600,72198201344
2013-12-19,2153.674,2159.142,2127.792,2126.246,7312348000,61496942592
2013-12-18,2150.412,2156.593,2148.285,2142.624,6417358400,55420596224
2013-12-17,2161.536,2165.543,2151.079,2146.314,7857893600,66921598976
2013-12-16,2197.234,2201.696,2160.861,2159.987,10138759200,86422953984
2013-12-13,2188.259,2204.637,2196.075,2183.842,8510100800,72637505536
2013-12-12,2199.317,2214.548,2202.796,2194.901,8610867200,76003328000
2013-12-11,2228.633,2228.633,2204.166,2193.16,10947315200,94389297152
2013-12-10,2239.864,2250.504,2237.492,2231.68,10904313600,95556296704
2013-12-09,2241.793,2249.169,2238.2,2231.734,9327364000,84432478208
2013-12-06,2242.563,2248.147,2237.108,2228.632,10370092800,92254756864
2013-12-05,2252.723,2255.261,2247.063,2239.144,12204841600,105837305856
2013-12-04,2219.965,2260.871,2251.762,2215.916,15729294400,135497940992
2013-12-03,2196.824,2227.925,2222.67,2193.251,11350640800,100776656896
2013-12-02,2203.122,2231.921,2207.371,2172.633,17428198400,151936155648
2013-11-29,2221.618,2224.944,2220.504,2212.263,10695905600,97834024960
2013-11-28,2204.378,2234.387,2219.372,2202.623,13445678400,119645437952
2013-11-27,2181.725,2207.617,2201.07,2176.847,11538440800,102163488768
2013-11-26,2184.332,2192.579,2183.073,2176.177,10046083200,84536639488
2013-11-25,2186.058,2209.148,2186.115,2181.418,10828265600,96747315200
2013-11-22,2206.471,2211.066,2196.378,2188.767,11386645600,102450200576
2013-11-21,2197.008,2206.531,2205.766,2177.735,13724552000,120005001216
2013-11-20,2201.474,2207.105,2206.613,2186.642,11896186400,104820416512
2013-11-19,2198.318,2203.297,2193.125,2186.114,12508230400,115941883904
2013-11-18,2147.373,2198.316,2197.219,2143.768,15750272000,143246229504
2013-11-15,2100.9,2153.213,2135.827,2100.786,12589452000,113364459520
2013-11-14,2087.119,2102.38,2100.506,2078.988,8379937600,72089886720
2013-11-13,2117.886,2117.912,2087.941,2086.006,8825709600,73376063488
2013-11-12,2110.724,2127.938,2126.772,2108.396,7944672800,67951267840
2013-11-11,2103.299,2117.28,2109.471,2093.626,6967829600,59934060544
2013-11-08,2120.923,2128.581,2106.127,2103.51,8309685600,70325215232
2013-11-07,2136.627,2141.6,2129.4,2119.186,8184260800,70177472512
2013-11-06,2149.39,2166.171,2139.607,2138.78,10048734400,86547128320
2013-11-05,2139.837,2158.148,2157.24,2124.845,9190003200,77963321344
2013-11-04,2156.087,2160.578,2149.634,2143.207,7614794400,66305998848
2013-11-01,2139.88,2157.313,2149.562,2132.629,8911848000,76271861760
2013-10-31,2155.511,2155.511,2141.614,2137.466,10806302400,88638832640
2013-10-30,2126.69,2161.935,2160.463,2121.841,11964336000,95233753088
2013-10-29,2135.226,2163.657,2128.864,2093.197,14309281600,117347753984
2013-10-28,2135.879,2140.957,2133.869,2123.069,8840132000,77889331200
2013-10-25,2163.689,2170.612,2132.955,2122.678,11392452000,99671695360
2013-10-24,2178.82,2183.412,2164.322,2159.871,10300895200,90001866752
2013-10-23,2213.274,2226.847,2183.107,2177.725,14634708800,125789855744
2013-10-22,2227.341,2227.341,2210.652,2204.244,14913283200,134994870272
2013-10-21,2198.114,2230.285,2229.237,2190.394,13669440000,123936342016
2013-10-18,2188.714,2203.291,2193.78,2184.36,10372463200,90814177280
2013-10-17,2201.71,2211.03,2188.542,2183.246,12676794400,113138851840
2013-10-16,2228.113,2228.113,2193.074,2183.403,15463864000,138165501952
2013-10-15,2237.931,2240.25,2233.412,2221.139,15372283200,138541629440
2013-10-14,2232.218,2242.984,2237.773,2226.403,16598339200,151626940416
2013-10-11,2201.409,2228.871,2228.146,2200.53,15689217600,142271938560
2013-10-10,2214.405,2214.592,2190.929,2186.48,14977590400,136575148032
2013-10-09,2191.392,2212.347,2211.769,2185.181,13087173600,117966135296
2013-10-08,2171.904,2200.018,2198.199,2161.489,12671020000,114992021504
2013-09-30,2167.734,2176.303,2174.665,2165.162,9281008000,88982757376
2013-09-27,2150.961,2165.777,2160.027,2149.594,10540179200,97811677184
2013-09-26,2192.226,2192.226,2155.809,2154.721,14041534400,125680361472
2013-09-25,2206.225,2217.974,2198.515,2193.722,16021276800,143779987456
2013-09-24,2219.467,2219.543,2207.531,2187.236,16041505600,143330951168
2013-09-23,2199.361,2223.068,2221.044,2198.336,13317485600,121468256256
2013-09-18,2185.936,2195.904,2191.851,2172.043,11511188800,101333090304
2013-09-17,2230.388,2230.929,2185.56,2184.922,15454256000,132460429312
2013-09-16,2244.463,2248.471,2231.401,2226.171,15488401600,133580636160
2013-09-13,2251.462,2259.424,2236.217,2228.483,17198422400,140600131584
2013-09-12,2236.171,2270.268,2255.605,2226.288,20971510400,167300579328
2013-09-11,2244.962,2258.075,2241.268,2233.003,24434945600,195427631104
2013-09-10,2214.814,2238.551,2237.984,2202.817,23720665600,191083872256
2013-09-09,2151.347,2218.529,2212.516,2151.347,21942708800,178881740800
2013-09-06,2119.333,2143.244,2139.993,2119.021,14326065600,119152336896
2013-09-05,2125.255,2127.855,2122.43,2115.236,12654410400,105776496640
2013-09-04,2121.68,2132.996,2127.618,2115.753,14200038400,116457422848
2013-09-03,2100.449,2123.847,2123.112,2095.455,13889316800,112421232640
2013-09-02,2104.09,2108.683,2098.448,2078.455,14915852800,121084657664
2013-08-30,2097.217,2114.393,2098.382,2089.095,17007564800,132055678976
2013-08-29,2108.436,2110.894,2097.227,2088.236,13326821600,105259327488
2013-08-28,2092.311,2113.817,2101.301,2080.861,16139203200,132239097856
2013-08-27,2095.44,2105.376,2103.567,2090.425,12634196800,104591622144
2013-08-26,2061.417,2097.344,2096.474,2056.133,11993265600,99157901312
2013-08-23,2075.929,2079.846,2057.458,2029.365,11242635200,94571634688
2013-08-22,2069.313,2083.333,2067.124,2062.367,9092830400,76018376704
2013-08-21,2076.271,2076.317,2072.961,2056.913,8744599200,72860721152
2013-08-20,2081.966,2098.98,2072.595,2066.072,10738177600,89117933568
2013-08-19,2055.128,2091.132,2085.602,2052.703,9744678400,81501388800
2013-08-16,2075.983,2198.848,2068.452,2061.654,15306332800,123125129216
2013-08-15,2099.279,2108.405,2081.88,2079.969,9939665600,84735664128
2013-08-14,2109.225,2122.965,2100.137,2093.043,11443780000,95791169536
2013-08-13,2101.324,2106.397,2106.156,2093.796,11770887200,96430366720
2013-08-12,2058.416,2102.347,2101.283,2055.715,13512897600,116489707520
2013-08-09,2052.244,2061.708,2052.235,2030.127,9531642400,83036020736
2013-08-08,2044.436,2058.561,2044.895,2037.251,8413328800,71954923520
2013-08-07,2056.367,2069.561,2046.778,2043.75,10771259200,91260305408
2013-08-06,2043.653,2066.74,2060.5,2034.957,10558097600,88690556928
2013-08-05,2031.724,2050.911,2050.481,2025.226,8551796800,73277095936
2013-08-02,2039.514,2047.084,2029.418,2025.654,9359276800,78906253312
2013-08-01,2000.818,2029.928,2029.067,1997.058,9125668800,77395279872
2013-07-31,2000.794,2015.472,1993.799,1987.88,7016060000,59394334720
2013-07-30,1981.452,2006.232,1990.064,1965.361,7721978400,66157867008
2013-07-29,1997.838,1997.838,1976.306,1969.853,7868327200,65866981376
2013-07-26,2013.19,2021.574,2010.85,2000.797,7380043200,65538621440
2013-07-25,2037.336,2045.365,2021.174,2016.431,9854536800,86249512960
